RAPORT: 50
219 819 889
333 1131 1363
504 1570 2103
748 2112 3090
1061 2922 4627
1626 4002 6929
2337 5508 10087
3495 7717 14788
5221 10789 21733
7874 15268 32177
11510 21514 47042
17095 30867 68303
25520 44202 99788
36967 63337 145987
RAPORT: 30
27 15 93
50 22 144
82 31 228
111 50 286
161 73 430
232 95 565
338 135 795
490 188 1094
702 282 1536
938 431 2096
1340 643 3008
1949 981 4200
2785 1454 5987
4048 2201 8707
5792 3306 12575
8325 4807 18125
12062 6866 26287
17398 9995 38242
25213 14358 55309
36981 21275 79682
53672 31024 115551
RAPORT: 29
13 31 93
15 48 144
19 55 203
21 86 268
23 135 416
23 207 603
25 303 879
28 445 1253
40 654 1808
51 933 2561
70 1396 3631
125 2044 5187
167 2941 7481
258 4165 10859
360 6136 15941
564 8875 23001
810 12719 33406
1279 18534 48024
1973 26627 70101
2967 38406 101676
4166 56564 147652
RAPORT: 28
18 22 95
32 32 146
49 52 205
58 75 257
69 109 386
95 174 505
122 242 716
156 359 1066
218 520 1511
318 754 2215
463 1057 3189
694 1521 4630
1006 2159 6672
1509 3145 9703
2184 4500 14132
3330 6576 20336
5023 9583 29492
7440 13889 42970
11027 19923 62525
16401 28806 90786
24700 41879 131459
RAPORT: 27
20 22 97
29 34 156
51 56 227
73 73 313
119 111 463
185 137 650
271 211 921
389 313 1307
552 431 1859
798 634 2716
1200 936 3850
1739 1366 5445
2530 2021 7787
3827 2901 11127
5604 4310 15889
8185 6220 23060
12093 9015 33235
17444 13158 48370
25669 19178 70159
37392 27714 101362
54710 40324 147043
RAPORT: 26
17 22 97
24 41 160
34 69 236
41 102 306
65 157 433
86 231 603
124 349 858
191 504 1221
286 763 1734
433 1069 2447
658 1528 3561
988 2143 5236
1405 3066 7667
2070 4256 11207
3096 6096 16195
4607 8791 23431
6833 12746 33990
10161 18264 49275
14879 26361 71746
21786 37878 104529
32827 54128 151411
RAPORT: 25
20 23 89
27 47 154
35 61 249
45 71 347
60 97 555
94 154 788
144 236 1115
212 378 1576
318 537 2218
460 730 3284
667 1068 4647
986 1516 6594
1480 2108 9444
2170 3021 13574
3206 4324 19621
4843 6403 28235
7342 9147 40978
10688 13510 59288
15800 19206 86371
23428 28121 124969
34555 41216 180574
RAPORT: 24
21 21 91
33 33 138
40 34 143
19 21 72
11 10 31
3 0 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
RAPORT: 23
19 21 101
31 27 174
46 37 238
67 40 338
100 61 514
140 90 737
219 136 1038
326 204 1418
454 311 1990
690 459 2829
1041 680 4003
1517 1010 5689
2285 1460 8035
3427 2226 11585
5095 3238 16708
7457 4606 24060
11087 6669 34584
16132 9765 50085
23529 14496 72344
34486 21246 105193
50382 30898 152460
RAPORT: 22
25 21 86
39 26 133
53 43 199
85 59 274
140 93 391
195 123 552
281 182 765
447 270 1097
610 371 1561
878 574 2240
1306 810 3222
1898 1187 4626
2783 1729 6589
4094 2594 9465
5859 3689 13678
8540 5322 20014
12489 7722 29199
18212 11250 42728
26610 16587 61909
38754 23929 89762
56631 35099 130189
RAPORT: 21
37 18 83
56 30 141
86 41 218
118 53 288
196 82 401
284 147 574
387 208 862
528 293 1196
755 411 1756
1081 599 2519
1562 860 3614
2269 1270 5301
3354 1810 7808
4762 2669 11358
6956 3958 16343
10040 5888 23584
14528 8555 34137
20925 12642 49405
30561 18330 71825
44634 26877 104361
64687 39673 151696
RAPORT: 20
46 53 38
74 81 66
105 101 98
134 155 151
207 224 235
299 280 340
424 361 525
599 512 845
844 717 1271
1235 988 1879
1810 1349 2716
2619 1856 4005
3791 2598 5773
5568 3648 8445
8031 5166 12141
11550 7371 17880
16776 10555 26112
24215 15355 38162
35274 22003 55833
50773 31833 81191
73064 46875 118276
RAPORT: 19
49 37 49
76 51 77
83 53 83
41 27 44
16 11 20
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
RAPORT: 18
51 51 38
80 78 63
122 109 102
156 144 138
231 219 216
343 317 340
495 447 516
701 571 837
974 767 1243
1418 1041 1767
2071 1477 2634
2976 2063 3913
4212 2949 5803
5898 4187 8607
8432 6011 12710
12103 8451 18936
17440 11870 27809
25206 17056 41089
36565 24706 59771
52689 35691 87725
75623 51994 127621
RAPORT: 17
45 48 45
76 67 81
103 94 101
141 98 123
199 139 181
301 197 267
402 263 404
583 378 619
808 512 919
1107 755 1308
1515 1062 1871
2195 1485 2777
3188 2025 4190
4543 2838 6250
6362 3919 9017
9065 5604 13366
13095 7980 19631
18708 11430 28628
27117 16554 41827
39335 24097 60897
56948 34668 89174
RAPORT: 16
37 42 57
62 75 93
86 121 136
93 182 183
135 277 301
163 380 437
262 509 689
377 670 1020
581 918 1582
880 1283 2279
1349 1822 3351
2005 2540 4944
2998 3397 7366
4492 4781 10881
6555 6712 15994
9684 9468 23314
14004 13578 33806
20425 19355 49746
29658 27606 72534
43435 40334 105499
63419 57869 154002
RAPORT: 15
48 36 54
76 66 86
112 111 131
151 136 208
230 168 332
335 209 468
483 269 664
695 389 932
1008 564 1346
1457 767 2024
2070 1120 2933
2972 1598 4303
4130 2343 6232
5900 3337 8920
8503 4733 13044
12167 6697 19137
17575 9647 27691
25436 14045 40488
36152 20380 59050
51586 29671 86286
75244 43813 125017
RAPORT: 14
43 40 52
64 53 80
64 53 87
33 21 46
10 9 20
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
RAPORT: 13
56 28 54
80 45 84
116 69 124
139 92 161
186 126 262
275 171 387
376 233 579
521 337 826
742 492 1191
1034 699 1701
1469 977 2457
2120 1407 3586
2994 2020 5168
4355 2871 7660
6260 4094 11232
8985 5896 16352
13039 8508 23919
18855 12327 34944
27143 17792 50886
39379 26016 74108
56816 37736 108415
RAPORT: 12
37 55 44
51 98 63
78 138 103
111 168 141
192 236 238
286 331 360
403 404 528
551 492 769
772 668 1110
1123 899 1688
1563 1193 2467
2203 1640 3627
3153 2288 5289
4546 3372 7679
6597 4725 11298
9665 6784 16397
14037 9609 24055
20062 13950 35334
28985 20016 51408
42556 28624 74672
61287 41524 109389
RAPORT: 11
60 40 37
96 56 67
154 80 124
196 91 165
260 132 237
363 187 381
520 255 588
702 369 880
940 505 1272
1382 713 1838
1921 1045 2709
2838 1502 3918
4085 2158 5754
5891 3157 8414
8536 4647 12323
12197 6838 17957
17618 10018 26188
25210 14457 38543
36541 21213 56360
52888 30750 82106
76072 44540 119381
RAPORT: 10
45 48 49
80 70 81
108 106 141
139 130 235
185 182 352
250 242 520
349 323 789
